Branch Name,Reviews,Location,Website
A2B - Adyar Ananda Bhavan,,Adyar Ananda Bhavan cross Offers Caf,https://www.zomato.com/chennai/restaurants/a2b-adyar-ananda-bhavan
A2B - Adyar Ananda Bhavan,"Dining: 3.7/5 (569) | Delivery: 4.3/5 (9,001)","Adyar Ananda Bhavan, Adyar, Chennai",https://www.zomato.com/chennai/a2b-adyar-ananda-bhavan-adyar/reviews
A2B - Adyar Ananda Bhavan,Dining: 3.6/5 (214),"Adyar Ananda Bhavan, Avadi, Chennai",https://www.zomato.com/chennai/a2b-adyar-ananda-bhavan-avadi/reviews
A2B - Adyar Ananda Bhavan,"Dining: 3.4/5 (84) | Delivery: 4.1/5 (9,463)","Adyar Ananda Bhavan, GST Road, Chennai",https://www.zomato.com/chennai/a2b-adyar-ananda-bhavan-gst-road/reviews
A2B - Adyar Ananda Bhavan,Dining: 3.3/5 (199),"Adyar Ananda Bhavan, Potheri, Chennai",https://www.zomato.com/chennai/a2b-adyar-ananda-bhavan-potheri/reviews
A2B - Adyar Ananda Bhavan,"Dining: 3.4/5 (160) | Delivery: 4.1/5 (9,378)","Adyar Ananda Bhavan, T. Nagar, Chennai",https://www.zomato.com/chennai/a2b-adyar-ananda-bhavan-1-t-nagar/reviews
A2B - Adyar Ananda Bhavan,"Dining: 3.5/5 (129) | Delivery: 4.1/5 (4,573)","Adyar Ananda Bhavan, Triplicane, Chennai",https://www.zomato.com/chennai/a2b-adyar-ananda-bhavan-triplicane/reviews
