Branch,Reviews,Restaurant,Review_Date
Geetham Veg Restaurant,"First time visit had a nice lunch

Thanks to Narayan and Debashish for their lovely care and help to choose right food for us.",Geetham,2026-06-02
Geetham Veg Restaurant,This branch in Tnagar  vegetarian restaurant little crampy near the last row..if they make it perfect then 10/10 also an area to rectify i would say is the sink where always there is water clog. . food is good n quick service. They have a …,Geetham,2026-01-29
Geetham Veg Restaurant,"Waiters wont attend table, first for order - they came after 15 minutes to table and had to wait 40 mins for a ghee podi masala dosa.
Food is good but arrogant waiters. I will change my mind and update review if next time they rectify.",Geetham,2026-03-27
Geetham Veg Restaurant,Worst experience. We were a group of 6 people who went for dinner last night and specifically ordered Jain food. The food quality and service were extremely disappointing. …,Geetham,2026-02-02
Geetham Veg Restaurant,"Been coming to this place for so many years and it has stayed the same, both in terms of taste and ambience, even after the rebranding. The food is excellent. And the waiters are extremely friendly and polite. …",Geetham,2026-02-11
Geetham Veg Restaurant,Do not give any order online at Geetham Restaurant. They said they will deliver themselves. Just ordered a Sandwich and a coffee at 432pm and the delivery not done until 615pm. The restaurant was just 15mnts walking distance from the …,Geetham,2026-04-19
Geetham Veg Restaurant,"As an outsider for this city, we had good food and enjoyed a good service here.
Highly recommended.",Geetham,2026-01-29
Geetham Veg Restaurant,"PROs - food taste mostly good , location
CONs - ambience is bad for the price , no AC , service average , wait time …",Geetham,2026-04-23
Geetham Veg Restaurant,If you are looking for for South Indian authentic vegetarian food. This is the place for you . Don’t miss to taste Paayasam that’s been served with every Thali. Quick service with Happy meal,Geetham,2025-12-30
Geetham Veg Restaurant,"Have been there last week for breakfast.
Long time in my wish list.
The ambience is good and there is limited car parking space in the street. …",Geetham,2026-02-20
Geetham Veg Restaurant,"Amazing food.
The food is delicious and well made but i would argue that the food is definitely on the pricier side. …",Geetham,2026-05-25
Geetham Veg Restaurant,"Good restaurant but little pricy. May be due to the location. We tried Garlic Podi Dosa, Pongal and mini idly. Garlic podi Dosa is awesome and Pongal tastes really good.",Geetham,2025-12-27
